epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3058.8,0.46877,2.45765,1.12613,0.00695,0.07666,0.0165,0.01192,0.98798,3.13461,1.44441,2.4966e-06,2.4966e-06,2.4966e-06
89,3092.83,0.47226,2.46285,1.13081,0.00677,0.07603,0.01663,0.01212,0.99648,3.12421,1.4511,2.3184e-06,2.3184e-06,2.3184e-06
90,3126.75,0.46026,2.48869,1.12313,0.00675,0.07494,0.01664,0.01208,0.99197,3.12216,1.4456,2.1402e-06,2.1402e-06,2.1402e-06
91,3168.62,0.53544,2.63197,1.23512,0.00765,0.106,0.02009,0.01393,1.01541,3.12601,1.44913,1.962e-06,1.962e-06,1.962e-06
92,3202.67,0.47019,2.50089,1.17045,0.00683,0.09066,0.01852,0.01241,1.02738,3.11596,1.46309,1.7838e-06,1.7838e-06,1.7838e-06
93,3236.36,0.46043,2.4706,1.15887,0.00715,0.08842,0.01794,0.01206,1.02465,3.11259,1.46859,1.6056e-06,1.6056e-06,1.6056e-06
94,3270.16,0.452,2.43863,1.15135,0.00763,0.09132,0.01862,0.01254,1.01998,3.11904,1.46105,1.4274e-06,1.4274e-06,1.4274e-06
95,3304.61,0.44607,2.431,1.14694,0.00626,0.08656,0.01843,0.01115,1.01512,3.11335,1.46182,1.2492e-06,1.2492e-06,1.2492e-06
96,3339.4,0.44996,2.41255,1.14941,0.00595,0.0813,0.01808,0.01121,1.0179,3.11367,1.46008,1.071e-06,1.071e-06,1.071e-06
97,3373.01,0.44247,2.40169,1.14149,0.00607,0.08116,0.01845,0.01152,1.01824,3.12223,1.46009,8.928e-07,8.928e-07,8.928e-07
98,3406.77,0.44429,2.39581,1.1425,0.00608,0.08134,0.01849,0.01154,1.01791,3.11826,1.46112,7.146e-07,7.146e-07,7.146e-07
99,3441.48,0.44069,2.38888,1.13825,0.00566,0.07769,0.01813,0.01138,1.01807,3.1118,1.45938,5.364e-07,5.364e-07,5.364e-07
100,3475.29,0.44409,2.39515,1.14358,0.00574,0.07772,0.01808,0.01133,1.01881,3.11371,1.46074,3.582e-07,3.582e-07,3.582e-07
